ref_date,qGDP,vGDP
1961-01-01,343577.0,40672.0
1961-04-01,352261.0,41568.0
1961-07-01,360748.0,42680.0
1961-10-01,365775.0,43476.0
1962-01-01,375481.0,44696.0
1962-04-01,378238.0,45200.0
1962-07-01,383219.0,46144.0
1962-10-01,391021.0,47224.0
1963-01-01,393401.0,47668.0
1963-04-01,399154.0,48644.0
1963-07-01,402265.0,49444.0
1963-10-01,414891.0,51452.0
1964-01-01,425171.0,52652.0
1964-04-01,426739.0,53516.0
1964-07-01,431191.0,54676.0
1964-10-01,433525.0,55424.0
1965-01-01,447172.0,57364.0
1965-04-01,451456.0,58764.0
1965-07-01,457604.0,60172.0
1965-10-01,468854.0,62332.0
1966-01-01,477834.0,64428.0
1966-04-01,487964.0,66592.0
1966-07-01,487842.0,67464.0
1966-10-01,493815.0,68756.0
1967-01-01,492724.0,69584.0
1967-04-01,503103.0,71840.0
1967-07-01,504902.0,72484.0
1967-10-01,506951.0,73740.0
1968-01-01,511137.0,75408.0
1968-04-01,525040.0,77760.0
1968-07-01,532220.0,79544.0
1968-10-01,539569.0,81564.0
1969-01-01,546628.0,83876.0
1969-04-01,549322.0,85564.0
1969-07-01,555214.0,87224.0
1969-10-01,563161.0,89408.0
1970-01-01,566806.0,91460.0
1970-04-01,566783.0,92284.0
1970-07-01,572634.0,94196.0
1970-10-01,573656.0,95004.0
1971-01-01,570365.0,96388.0
1971-04-01,586903.0,100420.0
1971-07-01,603215.0,103736.0
1971-10-01,609885.0,106528.0
1972-01-01,607760.0,108256.0
1972-04-01,624960.0,112364.0
1972-07-01,626702.0,114492.0
1972-10-01,641551.0,119384.0
1973-01-01,658304.0,124860.0
1973-04-01,665444.0,130152.0
1973-07-01,667853.0,134652.0
1973-10-01,680334.0,142656.0
1974-01-01,685378.0,149424.0
1974-04-01,692878.0,156088.0
1974-07-01,692269.0,162384.0
1974-10-01,689058.0,165328.0
1975-01-01,684728.0,167572.0
1975-04-01,693627.0,173748.0
1975-07-01,706653.0,182328.0
1975-10-01,714896.0,188532.0
1976-01-01,727284.0,196288.0
1976-04-01,743021.0,206268.0
1976-07-01,746330.0,208464.0
1976-10-01,747868.0,213008.0
1977-01-01,758503.0,219892.0
1977-04-01,762578.0,224772.0
1977-07-01,766612.0,229704.0
1977-10-01,778733.0,235948.0
1978-01-01,785281.0,241296.0
1978-04-01,790668.0,248648.0
1978-07-01,798215.0,255176.0
1978-10-01,805215.0,263056.0
1979-01-01,811914.0,271352.0
1979-04-01,822851.0,284116.0
1979-07-01,828545.0,292900.0
1979-10-01,834060.0,301924.0
1980-01-01,839900.0,309756.0
1980-04-01,839633.0,317208.0
1980-07-01,838669.0,324720.0
1980-10-01,850244.0,339304.0
1981-01-01,868983.0,355992.0
1981-04-01,878750.0,367992.0
1981-07-01,870861.0,372820.0
1981-10-01,866874.0,376628.0
1982-01-01,856676.0,383004.0
1982-04-01,846763.0,386516.0
1982-07-01,839341.0,389560.0
1982-10-01,831597.0,393644.0
1983-01-01,845508.0,403236.0
1983-04-01,862126.0,415804.0
1983-07-01,871768.0,428960.0
1983-10-01,882754.0,437264.0
1984-01-01,897940.0,447840.0
1984-04-01,915503.0,459552.0
1984-07-01,919353.0,465180.0
1984-10-01,933920.0,475372.0
1985-01-01,948110.0,486096.0
1985-04-01,951132.0,495352.0
1985-07-01,963199.0,503872.0
1985-10-01,977982.0,514788.0
1986-01-01,977688.0,518612.0
1986-04-01,983246.0,523844.0
1986-07-01,984487.0,530220.0
1986-10-01,977378.0,533844.0
1987-01-01,999928.0,552484.0
1987-04-01,1012843.0,567420.0
1987-07-01,1028259.0,581680.0
1987-10-01,1041543.0,595760.0
1988-01-01,1056728.0,610948.0
1988-04-01,1066087.0,621168.0
1988-07-01,1066184.0,631392.0
1988-10-01,1073620.0,644068.0
1989-01-01,1085867.0,656160.0
1989-04-01,1090017.0,669792.0
1989-07-01,1093917.0,679132.0
1989-10-01,1091582.0,681232.0
1990-01-01,1101873.0,691928.0
1990-04-01,1097310.0,695624.0
1990-07-01,1089546.0,697684.0
1990-10-01,1079836.0,696768.0
1991-01-01,1064426.0,694008.0
1991-04-01,1069389.0,701572.0
1991-07-01,1070821.0,704796.0
1991-10-01,1072797.0,706716.0
1992-01-01,1073579.0,710008.0
1992-04-01,1074890.0,714744.0
1992-07-01,1080662.0,721660.0
1992-10-01,1086810.0,727332.0
1993-01-01,1093765.0,733952.0
1993-04-01,1103723.0,745360.0
1993-07-01,1114242.0,750068.0
1993-10-01,1119052.0,758768.0
1994-01-01,1135542.0,772656.0
1994-04-01,1152136.0,783660.0
1994-07-01,1166865.0,800784.0
1994-10-01,1175379.0,810788.0
1995-01-01,1186304.0,823972.0
1995-04-01,1186783.0,828856.0
1995-07-01,1188347.0,832976.0
1995-10-01,1193217.0,840680.0
1996-01-01,1194038.0,844208.0
1996-04-01,1202352.0,852904.0
1996-07-01,1212740.0,864544.0
1996-10-01,1222507.0,877680.0
1997-01-01,1238634.0,891748.0
1997-04-01,1252626.0,899412.0
1997-07-01,1267450.0,912564.0
1997-10-01,1279723.0,923980.0
1998-01-01,1297798.0,934612.0
1998-04-01,1298491.0,935212.0
1998-07-01,1310310.0,938872.0
1998-10-01,1328139.0,953496.0
1999-01-01,1352229.0,975240.0
1999-04-01,1363541.0,994172.0
1999-07-01,1384876.0,1021308.0
1999-10-01,1404357.0,1040988.0
2000-01-01,1426823.0,1070188.0
2000-04-01,1443782.0,1099448.0
2000-07-01,1458465.0,1121768.0
2000-10-01,1460962.0,1132880.0
2001-01-01,1468700.0,1149924.0
2001-04-01,1472658.0,1152860.0
2001-07-01,1471677.0,1138804.0
2001-10-01,1480637.0,1136584.0
2002-01-01,1502613.0,1158640.0
2002-04-01,1511469.0,1185892.0
2002-07-01,1524550.0,1204144.0
2002-10-01,1532914.0,1226100.0
2003-01-01,1541396.0,1250088.0
2003-04-01,1539123.0,1237720.0
2003-07-01,1544874.0,1258296.0
2003-10-01,1555533.0,1272884.0
2004-01-01,1566737.0,1296216.0
2004-04-01,1585347.0,1328148.0
2004-07-01,1604061.0,1351480.0
2004-10-01,1615585.0,1367080.0
2005-01-01,1621176.0,1380324.0
2005-04-01,1632938.0,1399608.0
2005-07-01,1652719.0,1436992.0
2005-10-01,1669060.0,1469436.0
2006-01-01,1682596.0,1476000.0
2006-04-01,1683465.0,1490716.0
2006-07-01,1688166.0,1504936.0
2006-10-01,1694895.0,1514764.0
2007-01-01,1705736.0,1547276.0
2007-04-01,1722263.0,1576612.0
2007-07-01,1729494.0,1582248.0
2007-10-01,1731459.0,1604508.0
2008-01-01,1732786.0,1637296.0
2008-04-01,1739053.0,1677448.0
2008-07-01,1753314.0,1694512.0
2008-10-01,1732984.0,1618908.0
2009-01-01,1693824.0,1557232.0
2009-04-01,1675340.0,1548488.0
2009-07-01,1682878.0,1567924.0
2009-10-01,1702503.0,1611692.0
2010-01-01,1723041.0,1644032.0
2010-04-01,1732057.0,1653240.0
2010-07-01,1744332.0,1665372.0
2010-10-01,1763825.0,1701548.0
2011-01-01,1777148.0,1737952.0
2011-04-01,1780610.0,1759852.0
2011-07-01,1805176.0,1785748.0
2011-10-01,1819392.0,1812700.0
2012-01-01,1820558.0,1815120.0
2012-04-01,1826496.0,1818984.0
2012-07-01,1828984.0,1830636.0
2012-10-01,1832766.0,1844064.0
2013-01-01,1849206.0,1876844.0
2013-04-01,1859938.0,1886592.0
2013-07-01,1875096.0,1912428.0
2013-10-01,1894795.0,1933124.0
2014-01-01,1897892.0,1963452.0
2014-04-01,1915226.0,1988404.0
2014-07-01,1933594.0,2013792.0
2014-10-01,1946974.0,2013944.0
2015-01-01,1936275.0,1984300.0
2015-04-01,1931005.0,1984920.0
2015-07-01,1937835.0,2000864.0
2015-10-01,1939286.0,1991680.0
2016-01-01,1949923.0,1998420.0
2016-04-01,1940335.0,2002152.0
2016-07-01,1960344.0,2035420.0
2016-10-01,1971351.0,2066148.0
2017-01-01,1994056.0,2107708.0
2017-04-01,2017569.0,2130892.0
2017-07-01,2024764.0,2143864.0
2017-10-01,2033577.0,2181964.0
2018-01-01,2044627.0,2202260.0
2018-04-01,2052613.0,2219616.0
2018-07-01,2065093.0,2244092.0
2018-10-01,2070133.0,2229456.0
2019-01-01,2074494.0,2259924.0
2019-04-01,2092327.0,2304292.0
2019-07-01,2099200.0,2313716.0
